Data;Hora;Chuva;Nivel;Temperatura Media;Umidade Media
01/04/2023;2100;0.00;2.47;32.30;47.00
01/04/2023;2200;0.00;2.47;31.10;50.50
01/04/2023;2300;0.00;2.47;30.15;53.00
02/04/2023;0;0.00;2.50;28.70;62.50
02/04/2023;100;0.00;2.50;27.10;76.00
02/04/2023;200;0.00;2.50;26.45;80.00
02/04/2023;300;0.00;2.50;26.10;79.00
02/04/2023;400;0.00;2.50;25.65;83.00
02/04/2023;500;0.00;2.50;25.55;84.50
02/04/2023;600;0.00;2.50;24.90;86.00
02/04/2023;700;0.00;2.50;24.85;85.00
02/04/2023;800;0.00;2.50;24.60;86.50
02/04/2023;900;0.00;2.50;24.35;88.00
02/04/2023;1000;0.00;2.50;24.15;88.00
02/04/2023;1100;0.00;2.50;24.55;85.50
02/04/2023;1200;0.00;2.50;26.15;81.50
02/04/2023;1300;0.00;2.50;27.70;75.50
02/04/2023;1400;0.00;2.50;29.35;70.00
02/04/2023;1500;0.00;2.50;31.15;61.50
02/04/2023;1600;0.00;2.50;32.35;56.50
02/04/2023;1700;0.00;2.50;32.50;53.50
02/04/2023;1800;0.00;2.50;32.75;53.00
02/04/2023;1900;0.00;2.50;33.50;46.50
02/04/2023;2000;0.00;2.50;33.55;45.50
02/04/2023;2100;0.00;2.50;32.60;49.00
02/04/2023;2200;0.00;2.50;30.45;60.00
02/04/2023;2300;0.00;2.50;29.45;64.00
03/04/2023;0;0.00;2.52;29.45;62.00
03/04/2023;100;0.00;2.52;29.00;62.50
03/04/2023;200;0.00;2.52;28.65;65.00
03/04/2023;300;0.00;2.52;27.95;70.50
03/04/2023;400;0.00;2.52;27.90;68.00
03/04/2023;500;0.00;2.52;27.50;71.00
03/04/2023;600;0.00;2.52;27.15;74.00
03/04/2023;700;0.00;2.52;26.85;78.00
03/04/2023;800;0.00;2.52;26.35;83.50
03/04/2023;900;0.00;2.52;25.80;83.00
03/04/2023;1000;0.00;2.52;25.35;82.00
03/04/2023;1100;0.00;2.52;25.50;82.00
03/04/2023;1200;0.00;2.52;26.55;80.50
03/04/2023;1300;0.00;2.52;27.65;75.00
03/04/2023;1400;0.00;2.52;28.70;72.00
03/04/2023;1500;0.00;2.52;29.80;66.00
03/04/2023;1600;0.00;2.52;30.95;62.00
03/04/2023;1700;0.00;2.52;32.30;56.00
03/04/2023;1800;0.00;2.52;32.10;56.00
03/04/2023;1900;0.00;2.52;31.45;58.50
03/04/2023;2000;0.00;2.52;30.05;60.50
03/04/2023;2100;0.00;2.52;30.65;58.50
03/04/2023;2200;0.00;2.52;29.45;66.50
03/04/2023;2300;0.00;2.52;28.45;71.50
04/04/2023;0;0.00;2.54;27.80;72.00
04/04/2023;100;0.00;2.54;27.25;71.00
04/04/2023;200;0.00;2.54;26.70;74.00
04/04/2023;300;0.00;2.54;26.40;77.50
04/04/2023;400;0.00;2.54;26.30;81.00
04/04/2023;500;0.00;2.54;26.10;82.00
04/04/2023;600;0.00;2.54;25.85;84.00
04/04/2023;700;0.00;2.54;25.65;84.00
04/04/2023;800;0.00;2.54;25.40;84.50
04/04/2023;900;0.00;2.54;25.10;85.00
04/04/2023;1000;0.00;2.54;25.05;84.00
04/04/2023;1100;0.00;2.54;25.50;82.00
04/04/2023;1200;0.00;2.54;26.55;80.00
04/04/2023;1300;0.00;2.54;28.35;73.00
04/04/2023;1400;0.00;2.54;29.45;67.00
04/04/2023;1500;0.00;2.54;30.65;62.00
04/04/2023;1600;0.00;2.54;31.80;55.50
04/04/2023;1700;0.00;2.54;33.30;49.00
04/04/2023;1800;0.00;2.54;31.35;59.00
04/04/2023;1900;0.00;2.54;29.60;63.50
04/04/2023;2000;0.00;2.54;29.90;63.50
04/04/2023;2100;0.00;2.54;29.65;65.50
04/04/2023;2200;0.00;2.54;29.15;69.50
04/04/2023;2300;0.00;2.54;28.80;69.50
05/04/2023;1200;41.60;2.57;23.75;83.00
05/04/2023;1300;9.00;2.57;21.15;92.00
05/04/2023;1400;5.20;2.57;21.45;90.00
05/04/2023;1500;1.00;2.57;22.25;85.00
05/04/2023;1700;0.80;2.57;22.25;89.00
05/04/2023;1600;0.40;2.57;22.75;84.50
05/04/2023;1800;0.40;2.57;22.95;86.50
05/04/2023;0;0.00;2.57;28.70;68.00
05/04/2023;100;0.00;2.57;28.60;67.50
05/04/2023;200;0.00;2.57;28.00;74.50
05/04/2023;300;0.00;2.57;26.80;85.50
05/04/2023;400;0.00;2.57;26.40;84.50
05/04/2023;500;0.00;2.57;26.60;78.00
05/04/2023;600;0.00;2.57;26.55;76.00
05/04/2023;700;0.00;2.57;26.40;77.50
05/04/2023;800;0.00;2.57;25.90;83.00
05/04/2023;900;0.00;2.57;26.15;80.00
05/04/2023;1000;0.00;2.57;25.90;76.50
05/04/2023;1100;0.00;2.57;26.20;75.50
05/04/2023;1900;0.00;2.57;24.20;81.50
05/04/2023;2000;0.00;2.57;24.95;80.00
05/04/2023;2100;0.00;2.57;25.35;78.00
05/04/2023;2200;0.00;2.57;24.40;81.50
05/04/2023;2300;0.00;2.57;23.90;81.00
06/04/2023;600;0.20;2.63;23.10;90.00
06/04/2023;2000;0.20;2.63;26.20;75.50
06/04/2023;0;0.00;2.63;23.70;83.50
06/04/2023;100;0.00;2.63;23.55;85.50
06/04/2023;200;0.00;2.63;23.35;87.00
06/04/2023;300;0.00;2.63;23.15;88.00
06/04/2023;400;0.00;2.63;23.25;88.00
06/04/2023;500;0.00;2.63;23.15;89.50
06/04/2023;700;0.00;2.63;23.10;90.00
06/04/2023;800;0.00;2.63;23.25;89.50
